Rank,Domain
1,google.com
2,www.google.com
3,microsoft.com
4,data.microsoft.com
5,events.data.microsoft.com
6,netflix.com
7,windowsupdate.com
8,ctldl.windowsupdate.com
9,live.com
10,apple.com
11,cloud.netflix.com
12,prod.cloud.netflix.com
13,ftl.netflix.com
14,safebrowsing.googleapis.com
15,prod.ftl.netflix.com
16,nrdp.prod.cloud.netflix.com
17,microsoftonline.com
18,login.microsoftonline.com
19,office.com
20,doubleclick.net
21,clientservices.googleapis.com
22,amazonaws.com
23,g.doubleclick.net
24,bing.com
25,update.googleapis.com
26,digicert.com
27,facebook.com
28,googleusercontent.com
29,settings-win.data.microsoft.com
30,nrdp-ipv6.prod.ftl.netflix.com
31,self.events.data.microsoft.com
32,mp.microsoft.com
33,icloud.com
34,netflix.net
35,partner.netflix.net
36,prod.partner.netflix.net
37,preapp.prod.partner.netflix.net
38,www.googleapis.com
39,officeapps.live.com
40,prod.netflix.com
41,push.prod.netflix.com
42,ocsp.digicert.com
43,accounts.google.com
44,google-analytics.com
45,com.akadns.net
46,office365.com
47,itunes.apple.com
48,apple-dns.net
49,ls.apple.com
50,outlook.office365.com
51,skype.com
52,googleads.g.doubleclick.net
53,office.net
54,play.google.com
55,fe.apple-dns.net
56,www.google-analytics.com
57,v10.events.data.microsoft.com
58,teams.microsoft.com
59,aaplimg.com
60,edge.microsoft.com
61,fonts.googleapis.com
62,gateway.fe.apple-dns.net
63,youtube.com
64,gateway.icloud.com
65,mtalk.google.com
66,lencr.org
67,googletagmanager.com
68,www.googletagmanager.com
69,g.aaplimg.com
70,msn.com
71,dsp.mp.microsoft.com
72,clients4.google.com
73,lh3.googleusercontent.com
74,do.dsp.mp.microsoft.com
75,prod.do.dsp.mp.microsoft.com
76,optimizationguide-pa.googleapis.com
77,config.teams.microsoft.com
78,login.live.com
79,www.bing.com
80,outlook.office.com
81,pki.goog
82,dsce9.akamaiedge.net
83,edge.skype.com
84,graph.microsoft.com
85,play.googleapis.com
86,config.edge.skype.com
87,push.apple.com
88,bag.itunes.apple.com
89,www.youtube.com
90,time.apple.com
91,smartscreen.microsoft.com
92,e673.dsce9.akamaiedge.net
93,content-autofill.googleapis.com
94,substrate.office.com
95,app-measurement.com
96,windows.net
97,teams.events.data.microsoft.com
98,delivery.mp.microsoft.com
99,sharepoint.com
100,googlesyndication.com
101,cdn.office.net
102,ytimg.com
103,business.bing.com
104,c.lencr.org
105,i.ytimg.com
106,x1.c.lencr.org
107,time.g.aaplimg.com
108,graph.facebook.com
109,stats.g.doubleclick.net
110,ichnaea.netflix.com
111,ocsp.pki.goog
112,yahoo.com
113,www.facebook.com
114,ecs.office.com
115,windows.com
116,pagead2.googlesyndication.com
117,presence.teams.microsoft.com
118,ocsp2.apple.com
119,roaming.officeapps.live.com
120,weather-data.apple.com
121,mobile.events.data.microsoft.com
122,amazon.com
123,adservice.google.com
124,measure.office.net
125,clients6.google.com
126,fbcdn.net
127,nel.measure.office.net
128,msedge.net
129,ess.apple.com
130,measure.office.com
131,fp.measure.office.com
132,configuration.ls.apple.com
133,cloudflare.com
134,core.windows.net
135,outlook.com
136,apis.google.com
137,itunes-apple.com.akadns.net
138,assets.msn.com
139,storage.live.com
140,blob.core.windows.net
141,apple.com.akadns.net
142,officeclient.microsoft.com
143,gsp-ssl.ls.apple.com
144,iphone-ld.apple.com
145,googleadservices.com
146,amazontrust.com
147,upload.fp.measure.office.com
148,aria.microsoft.com
149,pipe.aria.microsoft.com
150,gvt2.com
151,dl.delivery.mp.microsoft.com
152,tlu.dl.delivery.mp.microsoft.com
153,c10r.facebook.com
154,edge-mqtt.facebook.com
155,tpc.googlesyndication.com
156,opendns.com
157,init.itunes.apple.com
158,www.googleadservices.com
159,api.msn.com
160,azure.com
161,activity.windows.com
162,manage.microsoft.com
163,googlevideo.com
164,docs.google.com
165,smoot.apple.com
166,mesu.apple.com
167,browser.events.data.microsoft.com
168,gcp.gvt2.com
169,ocsp2-lb.apple.com.akadns.net
170,ad.doubleclick.net
171,xx.fbcdn.net
172,beacons.gcp.gvt2.com
173,instagram.com
174,nexusrules.officeapps.live.com
175,scorecardresearch.com
176,gs-loc.apple.com
177,v20.events.data.microsoft.com
178,web.facebook.com
179,res.office365.com
180,browser.pipe.aria.microsoft.com
181,lh5.googleusercontent.com
182,sentry.io
183,sb.scorecardresearch.com
184,ls-apple.com.akadns.net
185,clients2.google.com
186,facebook.net
187,connect.facebook.net
188,mail.google.com
189,signaler-pa.clients6.google.com
190,us-v20.events.data.microsoft.com
191,init.push.apple.com
192,analytics.google.com
193,xp.apple.com
194,r4.res.office365.com
195,msftconnecttest.com
196,update.microsoft.com
197,adnxs.com
198,config.office.net
199,clients.config.office.net
200,sfx.ms
201,oneclient.sfx.ms
202,data-edge.smartscreen.microsoft.com
203,exo.nel.measure.office.net
204,r2m01.amazontrust.com
205,amazon-adsystem.com
206,ggpht.com
207,ocsp.r2m01.amazontrust.com
208,arc.msn.com
209,whatsapp.net
210,enterprise.activity.windows.com
211,securepubads.g.doubleclick.net
212,clients3.google.com
213,fe3cr.delivery.mp.microsoft.com
214,delve.office.com
215,loki.delve.office.com
216,demdex.net
217,www.msftconnecttest.com
218,origin-apple.com.akadns.net
219,b.tlu.dl.delivery.mp.microsoft.com
220,msedge.b.tlu.dl.delivery.mp.microsoft.com
221,ogs.google.com
222,safebrowsing.apple
223,yt3.ggpht.com
224,g.live.com
225,gdmf.apple.com
226,googletagservices.com
227,www.googletagservices.com
228,guzzoni.apple.com
229,gateway.facebook.com
230,addons-pa.clients6.google.com
231,nr-data.net
232,clients.google.com
233,android.clients.google.com
234,beacons.gvt2.com
235,ntp.org
236,pool.ntp.org
237,star.c10r.facebook.com
238,us-mobile.events.data.microsoft.com
239,init-cdn.itunes-apple.com.akadns.net
240,cloudapp.azure.com
241,mask.icloud.com
242,odc.officeapps.live.com
243,gsp85-ssl.ls.apple.com
244,wd.microsoft.com
245,history.google.com
246,cp.wd.microsoft.com
247,safebrowsing.google.com
248,v.aaplimg.com
249,dpm.demdex.net
250,firebaselogging-pa.googleapis.com
251,asyncgw.teams.microsoft.com
252,teams.cdn.office.net
253,statics.teams.cdn.office.net
254,cdn-apple.com
255,android.googleapis.com
256,r2m02.amazontrust.com
257,ocsp.r2m02.amazontrust.com
258,graph.instagram.com
259,elb.amazonaws.com
260,youtubei.googleapis.com
261,azureedge.net
262,trafficmanager.net
263,jnn-pa.googleapis.com
264,doh.opendns.com
265,metrics.icloud.com
266,dscw154.akamai.net
267,cdnjs.cloudflare.com
268,cm.g.doubleclick.net
269,adsrvr.org
270,mzstatic.com
271,snapchat.com
272,fastly.net
273,rubiconproject.com
274,l.google.com
275,gvt1.com
276,play-fe.googleapis.com
277,ib.adnxs.com
278,asm.skype.com
279,api.amazon.com
280,pubmatic.com
281,play.itunes.apple.com
